# Q mean, Q std
4.282786560058593750e+01,6.740664482116699219e+00
4.315223693847656250e+01,6.707323074340820312e+00
4.322147369384765625e+01,6.706414699554443359e+00
4.314395141601562500e+01,6.707753181457519531e+00
4.323276138305664062e+01,6.698749542236328125e+00
4.313525772094726562e+01,6.709194660186767578e+00
4.322985839843750000e+01,6.705280780792236328e+00
4.323657226562500000e+01,6.686634540557861328e+00
4.322909927368164062e+01,6.694642543792724609e+00
4.324333572387695312e+01,6.674803256988525391e+00
4.323577117919921875e+01,6.688006401062011719e+00
4.325284576416015625e+01,6.676305294036865234e+00
4.325930404663085938e+01,6.665097236633300781e+00
4.325720214843750000e+01,6.677569389343261719e+00
4.325982666015625000e+01,6.673176765441894531e+00
4.326038742065429688e+01,6.671847343444824219e+00
4.326777648925781250e+01,6.658006191253662109e+00
4.322799682617187500e+01,6.706209182739257812e+00
4.325326156616210938e+01,6.682438373565673828e+00
4.327006530761718750e+01,6.655941486358642578e+00
4.325902175903320312e+01,6.674188613891601562e+00
4.327408599853515625e+01,6.653888702392578125e+00
4.327614974975585938e+01,6.649090290069580078e+00
4.326694488525390625e+01,6.660387516021728516e+00
4.326945877075195312e+01,6.655364513397216797e+00
4.324445343017578125e+01,6.691534996032714844e+00
4.323822784423828125e+01,6.693165302276611328e+00
4.322282791137695312e+01,6.705936431884765625e+00
4.326551818847656250e+01,6.661768436431884766e+00
4.326636123657226562e+01,6.658868789672851562e+00
4.323361587524414062e+01,6.706129074096679688e+00
4.321203231811523438e+01,6.706391811370849609e+00
4.324100494384765625e+01,6.695606708526611328e+00
4.325464248657226562e+01,6.678822040557861328e+00
4.324880981445312500e+01,6.684175491333007812e+00
4.325402069091796875e+01,6.671113967895507812e+00
4.323864746093750000e+01,6.682951450347900391e+00
4.325757217407226562e+01,6.672938823699951172e+00
4.324602127075195312e+01,6.690549850463867188e+00
4.271808242797851562e+01,6.803276538848876953e+00
4.272446060180664062e+01,6.798576354980468750e+00
4.317461013793945312e+01,6.707589149475097656e+00
4.273927307128906250e+01,6.796249389648437500e+00
4.271329116821289062e+01,6.802072525024414062e+00
4.317560195922851562e+01,6.707241058349609375e+00
4.274853134155273438e+01,6.792955398559570312e+00
4.273433685302734375e+01,6.795988082885742188e+00
4.319194030761718750e+01,6.706745624542236328e+00
4.274956512451171875e+01,6.793651580810546875e+00
4.274043655395507812e+01,6.793632984161376953e+00
4.319356536865234375e+01,6.706739425659179688e+00
4.275129699707031250e+01,6.793441295623779297e+00
4.275971603393554688e+01,6.787929534912109375e+00
4.319823837280273438e+01,6.706610202789306641e+00
4.276258850097656250e+01,6.789436340332031250e+00
4.275877380371093750e+01,6.788524150848388672e+00
4.319688415527343750e+01,6.706637859344482422e+00
4.276796722412109375e+01,6.787484645843505859e+00
4.275608444213867188e+01,6.789611816406250000e+00
4.320672988891601562e+01,6.706308364868164062e+00
4.276604843139648438e+01,6.788218021392822266e+00
4.277272033691406250e+01,6.784188270568847656e+00
4.323389434814453125e+01,6.686458110809326172e+00
4.324460601806640625e+01,6.673726558685302734e+00
4.323884201049804688e+01,6.678182125091552734e+00
4.324200057983398438e+01,6.692852020263671875e+00
4.278863906860351562e+01,6.781446933746337891e+00
4.280175018310546875e+01,6.775274276733398438e+00
4.295988082885742188e+01,6.737720012664794922e+00
4.278237915039062500e+01,6.785002231597900391e+00
4.278672790527343750e+01,6.780644416809082031e+00
4.322193908691406250e+01,6.706089496612548828e+00
4.277943420410156250e+01,6.784790515899658203e+00
4.277894592285156250e+01,6.783383846282958984e+00
4.321627426147460938e+01,6.706171035766601562e+00
4.278520202636718750e+01,6.783226490020751953e+00
4.277963256835937500e+01,6.782950401306152344e+00
4.322307205200195312e+01,6.701972007751464844e+00
4.279125213623046875e+01,6.781932830810546875e+00
4.278750610351562500e+01,6.780858516693115234e+00
4.321950149536132812e+01,6.706057071685791016e+00
4.278305816650390625e+01,6.783142089843750000e+00
4.277737808227539062e+01,6.783142089843750000e+00
4.321746444702148438e+01,6.706076622009277344e+00
4.278524780273437500e+01,6.781516551971435547e+00
4.277464294433593750e+01,6.783014297485351562e+00
4.322694778442382812e+01,6.700233459472656250e+00
4.279355239868164062e+01,6.779197692871093750e+00
4.279708480834960938e+01,6.777340888977050781e+00
4.326149368286132812e+01,6.663837432861328125e+00
4.325569534301757812e+01,6.676536560058593750e+00
4.325698471069335938e+01,6.674072265625000000e+00
4.324695968627929688e+01,6.694325447082519531e+00
4.325609588623046875e+01,6.684407711029052734e+00
4.325808334350585938e+01,6.673939704895019531e+00
4.326668548583984375e+01,6.661584377288818359e+00
4.322955322265625000e+01,6.698348522186279297e+00
4.325707244873046875e+01,6.671847343444824219e+00
4.326537322998046875e+01,6.660745620727539062e+00
4.327022171020507812e+01,6.657886981964111328e+00
4.326964950561523438e+01,6.657477855682373047e+00
4.325593185424804688e+01,6.680569648742675781e+00
4.326471328735351562e+01,6.664373397827148438e+00
4.326408004760742188e+01,6.659317493438720703e+00
4.326092910766601562e+01,6.669567584991455078e+00
4.326007843017578125e+01,6.666991710662841797e+00
4.327757263183593750e+01,6.642957210540771484e+00
4.327099609375000000e+01,6.653627395629882812e+00
4.324614334106445312e+01,6.689435005187988281e+00
4.326490020751953125e+01,6.666102409362792969e+00
4.325308990478515625e+01,6.683802604675292969e+00
4.326325988769531250e+01,6.671097278594970703e+00
4.326747894287109375e+01,6.658699035644531250e+00
4.325287246704101562e+01,6.681977272033691406e+00
4.325958633422851562e+01,6.667510986328125000e+00
4.326784133911132812e+01,6.658193588256835938e+00
4.325419235229492188e+01,6.671419620513916016e+00
4.326393890380859375e+01,6.665014743804931641e+00
4.326865005493164062e+01,6.656116008758544922e+00
4.326089477539062500e+01,6.668277263641357422e+00
4.326790237426757812e+01,6.660446643829345703e+00
4.326663208007812500e+01,6.660976886749267578e+00
4.326515579223632812e+01,6.662181377410888672e+00
4.326470184326171875e+01,6.663509845733642578e+00
4.327196884155273438e+01,6.654671192169189453e+00
4.326666641235351562e+01,6.664389610290527344e+00
4.326770401000976562e+01,6.664342403411865234e+00
4.326495361328125000e+01,6.662734508514404297e+00
4.328360748291015625e+01,6.636663436889648438e+00
4.327326202392578125e+01,6.643321514129638672e+00
4.327753829956054688e+01,6.642712116241455078e+00
4.325554656982421875e+01,6.668209075927734375e+00
4.327393341064453125e+01,6.654504776000976562e+00
4.326103210449218750e+01,6.665415763854980469e+00
4.326156616210937500e+01,6.670814990997314453e+00
4.325354385375976562e+01,6.680861949920654297e+00
4.326697540283203125e+01,6.663940906524658203e+00
4.327393722534179688e+01,6.651075839996337891e+00
4.327103042602539062e+01,6.657080173492431641e+00
4.327140045166015625e+01,6.655878543853759766e+00
4.326461410522460938e+01,6.670462608337402344e+00
4.326528167724609375e+01,6.668255805969238281e+00
4.326052093505859375e+01,6.676515102386474609e+00
4.323299026489257812e+01,6.706462383270263672e+00
4.326169586181640625e+01,6.671257019042968750e+00
4.324707412719726562e+01,6.693160057067871094e+00
4.323038101196289062e+01,6.706352710723876953e+00
4.316570281982421875e+01,6.693473815917968750e+00
3.668361663818359375e+01,2.328898668289184570e+00
3.655893707275390625e+01,2.811944484710693359e+00
3.574074172973632812e+01,4.501789093017578125e+00
3.631428527832031250e+01,2.785384654998779297e+00
3.566666793823242188e+01,4.621633052825927734e+00
3.603921508789062500e+01,3.764959812164306641e+00
3.480392074584960938e+01,5.983701705932617188e+00
3.563366317749023438e+01,5.033988475799560547e+00
3.462376403808593750e+01,6.670239925384521484e+00
3.500000000000000000e+01,6.166019916534423828e+00
3.490098953247070312e+01,5.932797431945800781e+00
3.549504852294921875e+01,5.496396064758300781e+00
3.551485061645507812e+01,5.140813827514648438e+00
3.562626266479492188e+01,4.685216903686523438e+00
3.663636398315429688e+01,2.057038307189941406e+00
3.508080673217773438e+01,6.142545223236083984e+00
3.559999847412109375e+01,5.193584442138671875e+00
3.446666717529296875e+01,6.946140289306640625e+00
3.513333511352539062e+01,6.571318626403808594e+00
3.500000000000000000e+01,6.045283794403076172e+00
3.561363601684570312e+01,4.341741561889648438e+00
3.518181991577148438e+01,5.175435066223144531e+00
3.613636398315429688e+01,4.229714393615722656e+00
3.518181991577148438e+01,5.175433635711669922e+00
3.600000000000000000e+01,4.390071392059326172e+00
3.529545593261718750e+01,5.473406314849853516e+00
3.543181991577148438e+01,5.363588333129882812e+00
3.615909194946289062e+01,3.676977872848510742e+00
3.586363601684570312e+01,4.540681362152099609e+00
3.631818008422851562e+01,2.777938842773437500e+00
3.645454406738281250e+01,2.499587297439575195e+00
3.570454406738281250e+01,5.126046180725097656e+00
3.602272796630859375e+01,3.861164093017578125e+00
3.543181991577148438e+01,5.363591194152832031e+00
3.588636398315429688e+01,4.032347202301025391e+00
3.585057449340820312e+01,4.565055847167968750e+00
3.596551895141601562e+01,4.888289928436279297e+00
3.587356185913085938e+01,4.053678989410400391e+00
3.617241287231445312e+01,3.040744543075561523e+00
3.627906799316406250e+01,3.516244173049926758e+00
3.596470642089843750e+01,4.462777614593505859e+00
3.612941360473632812e+01,3.737845897674560547e+00
3.598823547363281250e+01,3.924267292022705078e+00
3.596470642089843750e+01,4.462775707244873047e+00
3.627058792114257812e+01,3.535989999771118164e+00
3.596470642089843750e+01,4.462776660919189453e+00
3.598823547363281250e+01,3.924266815185546875e+00
3.596470642089843750e+01,4.462776660919189453e+00
3.627058792114257812e+01,3.535992622375488281e+00
3.549411773681640625e+01,5.738666057586669922e+00
3.641176605224609375e+01,3.315894365310668945e+00
3.641176605224609375e+01,3.315894126892089844e+00
3.669411849975585938e+01,2.803458452224731445e+00
3.671764755249023438e+01,1.818930864334106445e+00
3.638823699951171875e+01,3.941020011901855469e+00
3.685882186889648438e+01,1.293902873992919922e+00
3.641176605224609375e+01,3.315894365310668945e+00
3.610588073730468750e+01,4.300542354583740234e+00
3.551764678955078125e+01,5.332721233367919922e+00
3.655294036865234375e+01,3.073630094528198242e+00
3.610588073730468750e+01,4.300543308258056641e+00
3.593975830078125000e+01,4.513298034667968750e+00
3.671084213256835938e+01,1.840182542800903320e+00
3.642168807983398438e+01,2.570083379745483398e+00
3.700000000000000000e+01,0.000000000000000000e+00
3.700000000000000000e+01,0.000000000000000000e+00
3.668292617797851562e+01,2.853658437728881836e+00
3.685185241699218750e+01,1.325077295303344727e+00
3.700000000000000000e+01,0.000000000000000000e+00
3.608641815185546875e+01,3.823893785476684570e+00
3.667901229858398438e+01,2.871000528335571289e+00
3.700000000000000000e+01,0.000000000000000000e+00
3.700000000000000000e+01,0.000000000000000000e+00
3.607500076293945312e+01,3.846344947814941406e+00
3.670000076293945312e+01,1.873498916625976562e+00
3.670000076293945312e+01,1.873498916625976562e+00
3.669230651855468750e+01,1.896742701530456543e+00
3.619480514526367188e+01,3.706920862197875977e+00
3.683561706542968750e+01,1.394840836524963379e+00
3.611428451538085938e+01,3.878669738769531250e+00
3.665714263916015625e+01,1.999183654785156250e+00
3.648571395874023438e+01,2.430419683456420898e+00
3.700000000000000000e+01,0.000000000000000000e+00
3.682857131958007812e+01,1.423992753028869629e+00
3.682857131958007812e+01,1.423992633819580078e+00
3.682608795166015625e+01,1.434123158454895020e+00
3.662318801879882812e+01,3.107266664505004883e+00
3.663636398315429688e+01,2.057038068771362305e+00
3.681250000000000000e+01,1.488235116004943848e+00
3.680952453613281250e+01,1.499811768531799316e+00
3.621311569213867188e+01,2.970427751541137695e+00
3.700000000000000000e+01,0.000000000000000000e+00
3.640983581542968750e+01,2.594932794570922852e+00
3.700000000000000000e+01,0.000000000000000000e+00
3.660655593872070312e+01,2.136940479278564453e+00
3.679999923706054688e+01,1.536227583885192871e+00
3.700000000000000000e+01,0.000000000000000000e+00
3.633333206176757812e+01,3.733834505081176758e+00
3.636841964721679688e+01,2.679562807083129883e+00
3.700000000000000000e+01,0.000000000000000000e+00
3.654716873168945312e+01,2.286680936813354492e+00
3.700000000000000000e+01,0.000000000000000000e+00
3.602040863037109375e+01,3.285650491714477539e+00
3.675510025024414062e+01,1.696702837944030762e+00
3.675510025024414062e+01,1.696704745292663574e+00
3.700000000000000000e+01,0.000000000000000000e+00
3.700000000000000000e+01,0.000000000000000000e+00
3.700000000000000000e+01,0.000000000000000000e+00
3.700000000000000000e+01,0.000000000000000000e+00
3.674468231201171875e+01,1.731658697128295898e+00
3.700000000000000000e+01,0.000000000000000000e+00
3.670731735229492188e+01,1.851089239120483398e+00
3.668421173095703125e+01,1.920871973037719727e+00
3.700000000000000000e+01,0.000000000000000000e+00
3.700000000000000000e+01,0.000000000000000000e+00
3.700000000000000000e+01,0.000000000000000000e+00
3.568965530395507812e+01,5.153529167175292969e+00
3.700000000000000000e+01,0.000000000000000000e+00
3.658620834350585938e+01,2.189587354660034180e+00
3.700000000000000000e+01,0.000000000000000000e+00
3.700000000000000000e+01,0.000000000000000000e+00
3.700000000000000000e+01,0.000000000000000000e+00
3.700000000000000000e+01,0.000000000000000000e+00
3.620000076293945312e+01,2.993326187133789062e+00
3.700000000000000000e+01,0.000000000000000000e+00
3.700000000000000000e+01,0.000000000000000000e+00
3.700000000000000000e+01,0.000000000000000000e+00
3.700000000000000000e+01,0.000000000000000000e+00
3.614285659790039062e+01,3.090472459793090820e+00
3.700000000000000000e+01,0.000000000000000000e+00
3.700000000000000000e+01,0.000000000000000000e+00
3.700000000000000000e+01,0.000000000000000000e+00
3.700000000000000000e+01,0.000000000000000000e+00
3.700000000000000000e+01,0.000000000000000000e+00
3.700000000000000000e+01,0.000000000000000000e+00
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
